subscriber,subscription_length,launch,optin,source,state,emails,open_rate,click_rate,rec_open_rate,rec_click_rate,course_open_rate,course_click_rate,past_course_open_rate,past_course_click_rate,purchase_probability,purchase
383159147,160,Launch_6,Unknown,FB Ad,active,32,0.41,0.06,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
383277844,160,Launch_6,Unknown,FB Ad,active,32,0.41,0.09,0.33,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
383333896,160,Launch_6,Influence Map,MCS Page,active,33,0.18,0.06,0.0,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
383336056,160,Launch_6,MCDT,Unknown,active,32,1.0,0.06,1.0,0.0,0.43,0.0,0.4693398692810468,0.1440803621958105,0.002306876328973986,False
383473924,160,Launch_6,Unknown,FB Ad,active,32,0.09,0.03,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
383618483,160,Launch_6,Unknown,FB Ad,active,32,0.34,0.03,0.0,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
383652461,160,Launch_6,Influence Map,MCS Page,active,23,0.04,0.04,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
383655242,160,Launch_6,Unknown,FB Ad,active,32,0.12,0.03,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
383953870,159,Launch_6,Unknown,FB Ad,active,32,0.12,0.03,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
384345777,159,Launch_6,MCDT,Unknown,active,32,0.47,0.19,0.33,0.0,0.43,0.14,0.4693398692810468,0.1440803621958105,0.005406038987310076,False
384395157,159,Launch_6,Unknown,FB Ad,active,32,0.69,0.03,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
384507103,159,Launch_6,Unknown,FB Ad,active,32,0.12,0.03,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
384516132,158,Launch_6,Unknown,FB Ad,active,32,0.78,0.03,1.0,0.0,0.86,0.0,0.4693398692810468,0.1440803621958105,0.005919036286063793,False
384551086,158,Launch_6,Unknown,FB Ad,active,32,0.12,0.06,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
384665305,158,Launch_6,Unknown,FB Ad,active,32,0.53,0.03,0.33,0.0,0.29,0.14,0.4693398692810468,0.1440803621958105,0.003978803367584046,False
384677068,158,Launch_6,Unknown,FB Ad,active,32,0.78,0.09,0.67,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
384760144,158,Launch_6,Influence Map,Medium,active,23,0.65,0.04,0.67,0.0,0.86,0.14,0.4693398692810468,0.1440803621958105,0.0138037979091682,False
384783060,158,Launch_6,Influence Map,MCS Page,active,25,0.52,0.04,0.0,0.0,0.29,0.0,0.4693398692810468,0.1440803621958105,0.0016964477603485777,False
384800245,158,Launch_6,MCDT,Unknown,active,32,0.75,0.19,0.0,0.0,0.57,0.14,0.4693398692810468,0.1440803621958105,0.00734146438530447,False
384814627,158,Launch_6,Unknown,FB Ad,active,32,0.38,0.03,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
384814906,158,Launch_6,Unknown,FB Ad,active,32,0.06,0.03,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
385597183,156,Launch_6,MCDT,MCS Page,active,33,0.36,0.06,0.0,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
385679926,156,Launch_6,MCDT,MCS Page,active,33,0.36,0.06,0.0,0.0,0.57,0.0,0.4693398692810468,0.1440803621958105,0.0031362638399289066,False
385808337,156,Launch_6,Influence Map,Skillshare,active,22,0.95,0.05,1.0,0.0,0.86,0.0,0.4693398692810468,0.1440803621958105,0.005919036286063793,False
386209748,156,Launch_6,Influence Map,Skillshare,active,22,0.23,0.09,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
386745795,155,Launch_6,Influence Map,MCS Page,active,22,0.05,0.05,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
386867090,155,Launch_6,MCDT,Unknown,active,30,0.43,0.03,0.0,0.0,0.14,0.0,0.4693398692810468,0.1440803621958105,0.0012202381972413708,False
387802511,154,Launch_6,Influence Map,MCS Page,active,22,1.0,0.23,1.0,0.33,0.86,0.0,0.4693398692810468,0.1440803621958105,0.005919036286063793,False
