subscriber,launch,open_rate,click_rate,purchase
137632830,Launch_5,0.0,0.0,False
137632830,Launch_6,0.0,0.0,False
137632832,Launch_3,0.17,0.0,False
137632832,Launch_4,0.67,0.17,False
137632832,Launch_5,0.14,0.0,False
137632832,Launch_6,0.14,0.0,False
137632833,Launch_3,0.17,0.0,False
137632833,Launch_4,0.17,0.0,False
137632833,Launch_5,0.86,0.0,False
137632833,Launch_6,0.29,0.0,False
137632834,Launch_3,0.5,0.0,False
137632834,Launch_4,0.83,0.0,False
137632834,Launch_5,1.0,0.0,False
137632834,Launch_6,1.0,0.0,False
137632836,Launch_3,0.33,0.17,False
137632836,Launch_4,0.0,0.0,False
137632836,Launch_5,0.0,0.0,False
137632836,Launch_6,0.57,0.0,False
137632837,Launch_4,0.0,0.0,False
137632837,Launch_5,1.0,0.5,True
137632838,Launch_3,0.67,0.0,False
137632838,Launch_4,0.67,0.0,False
137632839,Launch_3,0.67,0.0,False
137632841,Launch_3,0.33,0.0,False
137632841,Launch_4,0.17,0.0,False
137632841,Launch_5,0.0,0.0,False
137632841,Launch_6,0.0,0.0,False
137632842,Launch_3,0.17,0.0,False
137632842,Launch_4,0.83,0.17,False
137632842,Launch_5,0.8,0.4,False
137632842,Launch_6,0.71,0.0,False
137632844,Launch_3,0.17,0.0,False
137632844,Launch_4,0.0,0.0,False
137632844,Launch_5,0.71,0.0,False
137632844,Launch_6,0.29,0.0,False
137632845,Launch_3,1.0,0.17,False
137632845,Launch_4,0.83,0.0,False
137632845,Launch_5,0.86,0.0,False
137632845,Launch_6,0.57,0.0,False
137632846,Launch_3,0.5,0.0,False
137632846,Launch_4,0.5,0.0,False
137632846,Launch_5,0.14,0.0,False
137632846,Launch_6,0.14,0.0,False
137632847,Launch_3,1.0,0.0,False
137632847,Launch_4,1.0,0.0,False
137632847,Launch_5,1.0,0.0,False
137632847,Launch_6,1.0,0.0,False
137632848,Launch_3,0.67,0.0,False
137632848,Launch_4,0.5,0.17,False
137632848,Launch_5,0.71,0.0,False
137632848,Launch_6,1.0,0.14,False
137632850,Launch_3,0.67,0.17,False
137632850,Launch_4,0.67,0.0,False
137632850,Launch_5,0.71,0.0,False
137632850,Launch_6,1.0,0.0,False
137632851,Launch_3,0.0,0.0,False
137632851,Launch_4,0.17,0.0,False
137632851,Launch_5,0.0,0.0,False
137632851,Launch_6,0.0,0.0,False
137632853,Launch_3,0.6,0.2,False
137632854,Launch_3,0.67,0.17,False
137632854,Launch_4,0.83,0.0,False
137632854,Launch_5,0.71,0.14,False
137632854,Launch_6,0.57,0.0,False
137632856,Launch_3,0.33,0.0,False
137632856,Launch_4,0.33,0.0,False
137632857,Launch_3,0.0,0.0,False
137632857,Launch_4,0.5,0.0,False
137632857,Launch_5,0.14,0.0,False
137632857,Launch_6,0.0,0.0,False
137632860,Launch_3,0.17,0.0,False
137632860,Launch_4,0.0,0.0,False
137632860,Launch_5,0.14,0.0,False
137632860,Launch_6,0.0,0.0,False
137632862,Launch_3,1.0,0.0,False
137632862,Launch_4,0.67,0.0,False
137632862,Launch_5,0.71,0.0,False
137632862,Launch_6,0.86,0.0,False
137632863,Launch_3,0.17,0.0,False
137632863,Launch_4,0.0,0.0,False
137632863,Launch_5,0.0,0.0,False
137632863,Launch_6,0.0,0.0,False
137632864,Launch_3,0.5,0.0,False
137632864,Launch_4,0.0,0.0,False
137632864,Launch_5,0.86,0.0,False
137632864,Launch_6,0.0,0.0,False
137632865,Launch_3,0.5,0.0,False
137632865,Launch_4,0.17,0.17,False
137632865,Launch_5,0.14,0.0,False
137632865,Launch_6,0.0,0.0,False
137632867,Launch_3,0.33,0.0,False
137632867,Launch_4,0.17,0.0,False
137632867,Launch_5,0.86,0.14,False
137632867,Launch_6,0.71,0.0,False
137632868,Launch_3,0.0,0.0,False
137632868,Launch_4,0.5,0.0,False
137632869,Launch_3,0.17,0.0,False
137632869,Launch_4,0.83,0.0,False
137632869,Launch_5,0.29,0.14,True
137632870,Launch_3,0.67,0.5,False
137632870,Launch_4,0.67,0.0,False
137632870,Launch_5,0.71,0.29,False
137632870,Launch_6,0.14,0.0,False
137632872,Launch_3,0.17,0.0,False
137632872,Launch_4,0.17,0.0,False
137632872,Launch_5,0.71,0.0,False
137632872,Launch_6,0.29,0.0,False
137632874,Launch_3,0.83,0.0,False
137632874,Launch_4,0.83,0.0,False
137632874,Launch_5,0.14,0.0,False
137632874,Launch_6,0.43,0.0,False
137632875,Launch_3,0.83,0.17,False
137632875,Launch_4,0.33,0.0,False
137632875,Launch_5,0.14,0.0,False
137632875,Launch_6,0.14,0.0,False
137632876,Launch_3,0.33,0.0,False
137632876,Launch_4,0.0,0.0,False
137632876,Launch_5,0.0,0.0,False
137632876,Launch_6,0.43,0.0,False
137632877,Launch_3,1.0,0.17,False
137632877,Launch_4,1.0,0.17,False
137632877,Launch_5,1.0,0.0,False
137632877,Launch_6,1.0,0.0,False
137632878,Launch_3,0.33,0.17,False
137632878,Launch_4,0.17,0.0,False
137632878,Launch_5,0.14,0.14,False
137632878,Launch_6,0.14,0.0,False
137632879,Launch_3,0.67,0.0,False
137632879,Launch_4,0.5,0.0,False
137632879,Launch_5,0.29,0.14,False
137632879,Launch_6,0.14,0.0,False
137632881,Launch_3,0.17,0.0,False
137632881,Launch_4,0.0,0.0,False
137632881,Launch_5,0.2,0.2,False
137632882,Launch_3,0.67,0.17,False
